CHAPEDES  5864  5933     1    2016_08_03
*---  ad hoc run min and max
*---  Made with pedestal run 5864 ( run 5864, 2016-08-03 )
*---  
  6  70      0    400.31   2.74023
  6  71      0   401.083   2.72959
  6  72      0   399.284   2.56561
  6  73      0   399.746   2.69585
  6  74      0   400.102   2.64429
  6  75      0   399.733   2.70183
  6  76      0   403.126   2.78914
  6  77      0   400.137   2.58384
  6  78      0   398.903   2.67608
  6  79      0    399.93   2.61489
  6  80      0   400.346   2.86001
  6  81      0   401.631    2.6812
  6  82      0   400.789   2.61952
  6  83      0   400.522   2.45955
  6  84      0   399.972   2.65605
  6  85      0   399.063   2.47725
  6  86      0   399.931   2.51198
  6  87      0   400.412   2.54528
  6  88      0   399.951   2.69898
  6  89      0   400.142   2.57259
  6  90      0   399.267   2.52767
  6  91      0   400.748   2.75552
  6  92      0   399.662   3.03177
  6  93      0   399.146   2.69512
  6  94      0   400.272    2.7964
  6  95      2   403.014   1.32576
  6  96     99         0         0
  6  97     99         0         0
  6  98     99         0         0
  6  99     99         0         0
  6 100     99         0         0
  6 101     99         0         0
  6 102     99         0         0
  6 103     99         0         0
  6 104     99         0         0
  6 105     99         0         0
  6 106     99         0         0
  6 107     99         0         0
  6 108     99         0         0
  6 109     99         0         0
  6 110     99         0         0
  6 111     99         0         0
  6 112     99         0         0
  6 113     99         0         0
  6 114     99         0         0
  6 115     99         0         0
  6 116     99         0         0
  6 117     99         0         0
  6 118     99         0         0
  6 119     99         0         0
  6 120     99         0         0
  6 121     99         0         0
  6 122     99         0         0
  6 123     99         0         0
  6 124     99         0         0
  6 125     99         0         0
  6 126     99         0         0
  6 127     99         0         0
  7   0     99         0         0
  7   1     99         0         0
  7   2     99         0         0
  7   3     99         0         0
  7   4     99         0         0
  7   5     99         0         0
  7   6     99         0         0
  7   7     99         0         0
  7   8     99         0         0
  7   9     99         0         0
  7  10     99         0         0
  7  11     99         0         0
  7  12     99         0         0
  7  13     99         0         0
  7  14     99         0         0
  7  15     99         0         0
  7  16     99         0         0
  7  17     99         0         0
  7  18     99         0         0
  7  19     99         0         0
  7  20     99         0         0
  7  21     99         0         0
  7  22     99         0         0
  7  23     99         0         0
  7  24     99         0         0
  7  25     99         0         0
  7  26     99         0         0
  7  27     99         0         0
  7  28     99         0         0
  7  29     99         0         0
  7  30     99         0         0
  7  31     99         0         0
  7  32      0   401.333   2.52709
  7  33      0   400.992   2.68938
  7  34      0   400.404   2.69917
  7  35      0   400.031   2.48162
  7  36      0   400.939   2.51875
  7  37      0   403.894   2.22697
  7  38      0   399.523   2.60606
  7  39      0   401.159   2.54209
  7  40      0   399.945   2.65825
  7  41      0   402.462    2.1987
  7  42      0    401.07   2.10493
  7  43      0    400.43   2.56983
  7  44      0   400.401   2.56965
  7  45      0   400.113   2.54023
  7  46      0   400.704   2.51508
  7  47      0   400.138   2.60553
  7  48      0   401.862   2.50022
  7  49      0   400.546   2.68139
  7  50      0   400.123   2.57899
  7  51      0   400.053   2.60123
  7  52      0   399.719   2.65327
  7  53      0   401.354   4.54935
  7  54      0   399.947   2.53394
  7  55      0   401.282    2.7238
  7  56      0   399.674   2.64657
  7  57      0   399.498   2.69171
  7  58      0   400.111   2.63674
  7  59      0   400.085   2.62704
  7  60      0   399.406   2.65036
  7  61      0   398.708   2.43219
  7  62      0   400.223   2.49183
  7  63      0   399.805   2.56077
  7  64      0   400.208   2.64739
  7  65      0   402.774   2.97593
  7  66      0   400.748   2.54049
  7  67      0     400.7   2.71641
  7  68      0   402.728   2.73306
  7  69      0   400.674    2.4805
  7  70      0    400.92   2.68298
  7  71      0    402.25    3.0304
  7  72      0   400.009   2.61505
  7  73      0   400.755   2.71502
  7  74      0   401.149   2.56556
  7  75      0   399.142   2.43812
  7  76      0   400.057   2.55807
  7  77      0   401.385   2.63766
  7  78      0   400.725   2.66607
  7  79      0   401.689   2.50512
  7  80      0   399.979   2.54011
  7  81      0   401.427   2.70617
  7  82      0   399.841   2.63513
  7  83      0   399.822   2.65868
  7  84      0   401.236   2.54904
  7  85      0   399.684   2.69609
  7  86      0   400.382   2.69805
  7  87      0   400.514   2.69094
  7  88      0     402.9   2.64751
  7  89      0    400.39   2.73985
  7  90      0   400.142   2.78885
  7  91      0   399.251    2.7592
  7  92      0   400.783   2.76824
  7  93      0   399.546   2.62074
  7  94      0   400.425   2.70032
  7  95      0   400.486   2.73373
  7  96     99         0         0
  7  97     99         0         0
  7  98     99         0         0
  7  99     99         0         0
  7 100     99         0         0
  7 101     99         0         0
  7 102     99         0         0
  7 103     99         0         0
  7 104     99         0         0
  7 105     99         0         0
  7 106     99         0         0
  7 107     99         0         0
  7 108     99         0         0
  7 109     99         0         0
  7 110     99         0         0
  7 111     99         0         0
  7 112     99         0         0
  7 113     99         0         0
  7 114     99         0         0
  7 115     99         0         0
  7 116     99         0         0
  7 117     99         0         0
  7 118     99         0         0
  7 119     99         0         0
  7 120     99         0         0
  7 121     99         0         0
  7 122     99         0         0
  7 123     99         0         0
  7 124     99         0         0
  7 125     99         0         0
  7 126     99         0         0
  7 127     99         0         0
  8   0     99         0         0
  8   1     99         0         0
  8   2     99         0         0
  8   3     99         0         0
  8   4     99         0         0
  8   5     99         0         0
  8   6     99         0         0
  8   7     99         0         0
  8   8     99         0         0
  8   9     99         0         0
  8  10     99         0         0
  8  11     99         0         0
  8  12     99         0         0
  8  13     99         0         0
  8  14     99         0         0
  8  15     99         0         0
  8  16     99         0         0
  8  17     99         0         0
  8  18     99         0         0
  8  19     99         0         0
  8  20     99         0         0
  8  21     99         0         0
  8  22     99         0         0
  8  23     99         0         0
  8  24     99         0         0
  8  25     99         0         0
  8  26     99         0         0
  8  27     99         0         0
  8  28     99         0         0
  8  29     99         0         0
  8  30      0   398.649   2.68062
  8  31      0   400.109   2.55377
